student_id,gender,age,parental_education,hours_studied,attendance,sleep_hours,previous_scores,internet_usage,tutoring_sessions,extracurricular,exam_score
S0001,female,20,high_school,5.2,68.1,5.9,62.1,2.6,2.0,yes,78.6
S0002,male,16,graduate,4.4,68.4,,47.9,3.8,0.0,no,68.2
S0003,male,20,high_school,5.4,76.6,,63.0,2.5,3.0,yes,70.7
S0004,female,22,none,,89.0,6.8,85.0,2.3,3.0,yes,87.7
S0005,male,18,post_graduate,1.6,56.7,6.2,64.3,,0.0,no,58.1
S0006,female,17,graduate,4.7,72.4,7.1,57.2,3.4,1.0,no,71.7
S0007,male,20,high_school,8.9,64.2,7.0,79.7,3.3,,no,88.2
S0008,female,19,post_graduate,5.7,72.6,5.6,81.5,2.1,3.0,yes,93.0
S0009,male,16,high_school,,61.4,7.2,44.8,3.5,2.0,no,75.6
S0010,male,17,high_school,7.8,80.5,6.1,73.4,4.3,1.0,yes,82.7
S0011,female,20,post_graduate,1.4,65.5,6.2,45.2,,0.0,no,55.1
S0012,male,21,high_school,2.7,54.1,6.6,52.3,5.6,0.0,yes,62.3
S0013,female,22,graduate,4.5,64.5,6.8,57.5,2.1,5.0,yes,70.7
S0014,female,21,high_school,1.0,52.5,6.4,25.7,,0.0,no,41.5
S0015,female,19,none,1.9,52.1,6.0,25.4,7.1,0.0,yes,47.5
S0016,female,17,graduate,3.3,59.7,5.5,60.0,4.7,2.0,no,61.3
S0017,female,18,high_school,2.1,56.0,7.7,32.5,3.9,0.0,no,45.4
S0018,male,20,graduate,2.8,78.7,6.8,52.3,4.2,5.0,yes,73.8
S0019,male,21,graduate,3.7,56.8,5.9,62.6,4.2,0.0,no,63.5
S0020,male,21,post_graduate,1.0,55.2,6.6,43.6,7.8,2.0,no,47.5
S0021,male,20,graduate,8.8,100.0,7.4,53.1,4.1,5.0,yes,100.0
S0022,male,21,high_school,4.9,56.4,6.7,46.0,5.0,0.0,no,57.3
S0023,male,18,post_graduate,7.2,55.9,8.5,37.9,5.6,1.0,no,62.7
S0024,male,21,graduate,1.0,62.0,5.6,24.1,5.8,0.0,yes,46.0
S0025,female,20,graduate,1.0,59.1,6.0,20.0,5.6,3.0,no,51.5
S0026,female,16,post_graduate,5.6,68.6,6.6,55.3,5.6,2.0,yes,75.5
S0027,female,21,graduate,4.8,52.2,6.8,26.3,5.7,0.0,no,56.5
S0028,male,20,high_school,7.8,71.7,,61.2,3.2,3.0,no,72.4
S0029,female,16,graduate,3.8,76.8,,29.7,2.7,0.0,yes,68.5
S0030,male,21,high_school,3.5,73.5,5.9,51.5,4.3,0.0,no,64.1
S0031,male,21,high_school,4.7,70.9,4.9,41.8,5.7,4.0,no,68.6
S0032,male,20,graduate,8.2,77.2,7.1,97.8,2.9,5.0,yes,100.0
S0033,female,19,high_school,5.7,60.7,6.9,68.9,4.6,2.0,no,76.8
S0034,female,19,none,3.1,50.0,5.3,47.0,4.6,0.0,no,46.6
S0035,female,17,none,8.6,71.8,5.8,64.1,0.6,1.0,yes,77.6
S0036,male,19,graduate,6.1,65.4,5.9,56.5,4.9,0.0,no,74.5
S0037,male,18,high_school,6.1,76.2,7.3,42.6,3.4,4.0,yes,84.5
S0038,male,17,graduate,1.0,50.0,4.2,20.0,6.0,0.0,yes,34.7
S0039,male,19,high_school,1.6,56.5,6.5,34.2,6.3,0.0,no,47.2
S0040,female,16,high_school,2.8,66.5,7.3,80.5,6.1,0.0,no,64.5
S0041,female,22,high_school,5.8,79.0,7.6,64.1,3.3,1.0,no,72.7
S0042,female,20,graduate,4.8,77.8,7.6,55.7,3.5,3.0,yes,80.7
S0043,female,19,high_school,3.9,55.9,8.2,38.8,3.8,2.0,no,67.6
S0044,male,16,post_graduate,4.5,69.4,6.1,59.9,4.5,4.0,no,77.6
S0045,male,22,post_graduate,1.0,62.7,5.8,42.4,4.8,2.0,yes,57.0
S0046,female,17,post_graduate,4.9,59.5,5.8,52.1,5.0,1.0,yes,71.9
S0047,male,20,post_graduate,3.8,71.0,6.3,41.8,5.1,2.0,no,63.4
S0048,male,19,high_school,7.6,100.0,8.3,63.8,3.0,3.0,yes,92.5
S0049,female,17,graduate,5.4,72.6,5.6,47.2,4.1,6.0,yes,84.7
S0050,female,19,graduate,1.0,55.5,4.9,29.4,6.6,1.0,no,32.8
S0051,male,17,graduate,7.0,67.3,7.8,49.1,1.5,3.0,no,82.7
S0052,female,19,post_graduate,2.7,67.6,7.1,37.4,5.2,2.0,no,53.8
S0053,female,22,graduate,2.3,66.9,5.9,40.6,4.0,3.0,no,66.5
S0054,female,16,post_graduate,6.1,77.7,7.5,59.3,2.0,4.0,no,81.8
S0055,female,18,high_school,5.6,72.2,7.3,65.1,1.4,6.0,no,78.0
S0056,female,22,post_graduate,,81.0,8.2,73.6,3.4,0.0,yes,89.7
S0057,female,16,graduate,2.2,73.3,6.1,43.2,4.7,1.0,yes,63.4
S0058,female,20,graduate,5.5,70.5,7.2,47.5,2.4,,yes,69.5
S0059,female,19,high_school,6.2,81.0,8.8,61.8,4.2,5.0,yes,80.1
S0060,female,18,graduate,7.7,77.9,7.5,59.7,1.1,6.0,yes,91.5
S0061,male,22,post_graduate,5.1,71.2,6.3,48.9,4.7,1.0,yes,66.1
S0062,female,18,high_school,4.3,70.4,7.0,53.7,4.5,,yes,68.3
S0063,female,20,graduate,2.8,51.3,5.7,23.4,6.4,3.0,yes,53.9
S0064,female,20,high_school,1.9,60.6,7.8,47.0,7.6,0.0,no,47.1
S0065,male,18,post_graduate,7.4,70.2,7.1,58.4,1.4,7.0,yes,94.8
S0066,female,20,high_school,7.5,78.5,7.0,76.2,2.3,4.0,no,94.6
S0067,female,20,high_school,1.2,70.8,,65.6,3.8,2.0,yes,64.2
S0068,male,19,high_school,7.3,82.4,7.9,79.3,3.3,5.0,no,90.9
S0069,male,16,graduate,8.0,64.1,7.4,60.8,3.8,,no,88.1
S0070,female,21,none,4.8,72.0,5.8,41.7,4.4,1.0,no,54.2
S0071,male,17,graduate,7.4,78.2,7.1,69.9,3.0,5.0,no,93.8
S0072,male,18,post_graduate,10.7,79.7,6.1,84.8,0.8,4.0,no,100.0
S0073,male,17,post_graduate,5.0,57.3,6.6,48.3,5.2,0.0,yes,71.6
S0074,male,18,none,9.2,84.5,7.6,70.5,2.7,5.0,no,94.7
S0075,male,18,post_graduate,1.0,50.0,6.6,20.0,8.0,0.0,no,42.1
S0076,female,16,graduate,,79.1,6.3,68.9,2.6,5.0,no,83.0
S0077,male,22,high_school,6.1,68.0,5.5,55.5,3.1,3.0,yes,80.5
S0078,female,22,none,6.1,51.0,5.6,61.9,,4.0,no,75.9
S0079,female,18,high_school,5.0,67.8,5.5,60.0,4.3,3.0,no,75.4
S0080,female,18,post_graduate,1.0,50.0,6.6,38.5,5.1,1.0,no,51.4
S0081,male,16,none,4.5,72.9,7.6,44.7,6.5,1.0,no,57.2
S0082,female,20,high_school,6.8,68.0,6.9,71.7,2.0,4.0,yes,86.9
S0083,male,22,graduate,6.5,98.2,,71.9,2.6,7.0,yes,100.0
S0084,female,21,graduate,1.0,50.0,6.3,55.0,6.5,0.0,no,55.6
S0085,female,17,graduate,2.2,72.4,6.0,28.3,5.7,3.0,yes,56.5
S0086,female,18,graduate,1.9,63.2,6.0,49.8,4.8,,yes,60.5
S0087,male,16,none,6.5,86.0,6.7,48.9,1.7,2.0,yes,70.7
S0088,female,18,post_graduate,5.6,73.9,5.4,57.3,1.9,3.0,yes,86.1
S0089,male,22,high_school,,73.8,6.4,51.5,5.6,2.0,no,58.3
S0090,male,16,graduate,8.5,72.0,6.7,57.5,5.2,4.0,yes,86.3
S0091,male,17,graduate,5.7,62.2,7.1,46.0,3.4,1.0,no,62.6
S0092,female,19,high_school,7.9,91.1,7.1,78.0,1.5,4.0,no,96.9
